Accession	Sample Name	SPUID	Organism	Tax ID	Isolate	
SAMN33038612	WHP1968	WHP1968	Severe acute respiratory syndrome coronavirus 2	2697049	1121	
SAMN33038613	WHP1969	WHP1969	Severe acute respiratory syndrome coronavirus 2	2697049	1122	
SAMN33038614	WHP1970	WHP1970	Severe acute respiratory syndrome coronavirus 2	2697049	1123	
SAMN33038615	WHP1971	WHP1971	Severe acute respiratory syndrome coronavirus 2	2697049	1124	
SAMN33038616	WHP1972	WHP1972	Severe acute respiratory syndrome coronavirus 2	2697049	1125	
SAMN33038617	WHP1973	WHP1973	Severe acute respiratory syndrome coronavirus 2	2697049	1126	
SAMN33038618	WHP1974	WHP1974	Severe acute respiratory syndrome coronavirus 2	2697049	1127	
SAMN33038619	WHP1975	WHP1975	Severe acute respiratory syndrome coronavirus 2	2697049	1129	
SAMN33038620	WHP1976	WHP1976	Severe acute respiratory syndrome coronavirus 2	2697049	1130	
SAMN33038621	WHP1977	WHP1977	Severe acute respiratory syndrome coronavirus 2	2697049	1131	
SAMN33038622	WHP1978	WHP1978	Severe acute respiratory syndrome coronavirus 2	2697049	1132	
SAMN33038623	WHP1979	WHP1979	Severe acute respiratory syndrome coronavirus 2	2697049	1134	
SAMN33038624	WHP1980	WHP1980	Severe acute respiratory syndrome coronavirus 2	2697049	1135	
SAMN33038625	WHP1981	WHP1981	Severe acute respiratory syndrome coronavirus 2	2697049	1136	
SAMN33038626	WHP1982	WHP1982	Severe acute respiratory syndrome coronavirus 2	2697049	1137	
SAMN33038627	WHP1983	WHP1983	Severe acute respiratory syndrome coronavirus 2	2697049	1138	
SAMN33038628	WHP1984	WHP1984	Severe acute respiratory syndrome coronavirus 2	2697049	1139	
SAMN33038629	WHP1985	WHP1985	Severe acute respiratory syndrome coronavirus 2	2697049	1140	
SAMN33038630	WHP1986	WHP1986	Severe acute respiratory syndrome coronavirus 2	2697049	1141	
SAMN33038631	WHP1987	WHP1987	Severe acute respiratory syndrome coronavirus 2	2697049	1142	
SAMN33038632	WHP1988	WHP1988	Severe acute respiratory syndrome coronavirus 2	2697049	1143	
SAMN33038633	WHP1989	WHP1989	Severe acute respiratory syndrome coronavirus 2	2697049	1144	
SAMN33038634	WHP1990	WHP1990	Severe acute respiratory syndrome coronavirus 2	2697049	1145	
SAMN33038635	WHP1991	WHP1991	Severe acute respiratory syndrome coronavirus 2	2697049	1146	
SAMN33038636	WHP1992	WHP1992	Severe acute respiratory syndrome coronavirus 2	2697049	1147	
SAMN33038637	WHP1993	WHP1993	Severe acute respiratory syndrome coronavirus 2	2697049	1148	
SAMN33038638	WHP1994	WHP1994	Severe acute respiratory syndrome coronavirus 2	2697049	1149	
SAMN33038639	WHP1995	WHP1995	Severe acute respiratory syndrome coronavirus 2	2697049	1150	
SAMN33038640	WHP1996	WHP1996	Severe acute respiratory syndrome coronavirus 2	2697049	1151	
SAMN33038641	WHP1997	WHP1997	Severe acute respiratory syndrome coronavirus 2	2697049	1152	
SAMN33038642	WHP1998	WHP1998	Severe acute respiratory syndrome coronavirus 2	2697049	1153	
SAMN33038643	WHP1999	WHP1999	Severe acute respiratory syndrome coronavirus 2	2697049	1154	
SAMN33038644	WHP2000	WHP2000	Severe acute respiratory syndrome coronavirus 2	2697049	1155	
SAMN33038645	WHP2001	WHP2001	Severe acute respiratory syndrome coronavirus 2	2697049	1156	
SAMN33038646	WHP2002	WHP2002	Severe acute respiratory syndrome coronavirus 2	2697049	1157	
SAMN33038647	WHP2003	WHP2003	Severe acute respiratory syndrome coronavirus 2	2697049	1158	
SAMN33038648	WHP2004	WHP2004	Severe acute respiratory syndrome coronavirus 2	2697049	1159	
SAMN33038649	WHP2005	WHP2005	Severe acute respiratory syndrome coronavirus 2	2697049	1160	
SAMN33038650	WHP2006	WHP2006	Severe acute respiratory syndrome coronavirus 2	2697049	1161	
SAMN33038651	WHP2007	WHP2007	Severe acute respiratory syndrome coronavirus 2	2697049	1162	
SAMN33038652	WHP2008	WHP2008	Severe acute respiratory syndrome coronavirus 2	2697049	1163	
SAMN33038653	WHP2009	WHP2009	Severe acute respiratory syndrome coronavirus 2	2697049	1164	
SAMN33038654	WHP2010	WHP2010	Severe acute respiratory syndrome coronavirus 2	2697049	1165	
SAMN33038655	WHP2011	WHP2011	Severe acute respiratory syndrome coronavirus 2	2697049	1166	
SAMN33038656	WHP2012	WHP2012	Severe acute respiratory syndrome coronavirus 2	2697049	1167	
SAMN33038657	WHP2013	WHP2013	Severe acute respiratory syndrome coronavirus 2	2697049	1168	
SAMN33038658	WHP2014	WHP2014	Severe acute respiratory syndrome coronavirus 2	2697049	1169	
SAMN33038659	WHP2015	WHP2015	Severe acute respiratory syndrome coronavirus 2	2697049	1170	
SAMN33038660	WHP2016	WHP2016	Severe acute respiratory syndrome coronavirus 2	2697049	1171	
SAMN33038661	WHP2018	WHP2018	Severe acute respiratory syndrome coronavirus 2	2697049	1172	
SAMN33038662	WHP2019	WHP2019	Severe acute respiratory syndrome coronavirus 2	2697049	1173	
SAMN33038663	WHP2020	WHP2020	Severe acute respiratory syndrome coronavirus 2	2697049	1174	
SAMN33038664	WHP2021	WHP2021	Severe acute respiratory syndrome coronavirus 2	2697049	1175	
SAMN33038665	WHP2022	WHP2022	Severe acute respiratory syndrome coronavirus 2	2697049	1176	
SAMN33038666	WHP2023	WHP2023	Severe acute respiratory syndrome coronavirus 2	2697049	1177	
SAMN33038667	WHP2024	WHP2024	Severe acute respiratory syndrome coronavirus 2	2697049	1178	
SAMN33038668	WHP2025	WHP2025	Severe acute respiratory syndrome coronavirus 2	2697049	1179	
SAMN33038669	WHP2026	WHP2026	Severe acute respiratory syndrome coronavirus 2	2697049	1180	
SAMN33038670	WHP2027	WHP2027	Severe acute respiratory syndrome coronavirus 2	2697049	1181	
SAMN33038671	WHP2028	WHP2028	Severe acute respiratory syndrome coronavirus 2	2697049	1182	
SAMN33038672	WHP2029	WHP2029	Severe acute respiratory syndrome coronavirus 2	2697049	1184	
SAMN33038673	WHP2030	WHP2030	Severe acute respiratory syndrome coronavirus 2	2697049	1185	
SAMN33038674	WHP2031	WHP2031	Severe acute respiratory syndrome coronavirus 2	2697049	1186	
SAMN33038675	WHP2032	WHP2032	Severe acute respiratory syndrome coronavirus 2	2697049	1187	
SAMN33038676	WHP2033	WHP2033	Severe acute respiratory syndrome coronavirus 2	2697049	1189	
SAMN33038677	WHP2034	WHP2034	Severe acute respiratory syndrome coronavirus 2	2697049	1190	
SAMN33038678	WHP2035	WHP2035	Severe acute respiratory syndrome coronavirus 2	2697049	1191	
SAMN33038679	WHP2036	WHP2036	Severe acute respiratory syndrome coronavirus 2	2697049	1192	
SAMN33038680	WHP2037	WHP2037	Severe acute respiratory syndrome coronavirus 2	2697049	1193	
SAMN33038681	WHP2038	WHP2038	Severe acute respiratory syndrome coronavirus 2	2697049	1194	
SAMN33038682	WHP2039	WHP2039	Severe acute respiratory syndrome coronavirus 2	2697049	1195	
SAMN33038683	WHP2040	WHP2040	Severe acute respiratory syndrome coronavirus 2	2697049	1196	
SAMN33038684	WHP2041	WHP2041	Severe acute respiratory syndrome coronavirus 2	2697049	1197	
SAMN33038685	WHP2042	WHP2042	Severe acute respiratory syndrome coronavirus 2	2697049	1198	
SAMN33038686	WHP2043	WHP2043	Severe acute respiratory syndrome coronavirus 2	2697049	1199	
SAMN33038687	WHP2044	WHP2044	Severe acute respiratory syndrome coronavirus 2	2697049	1201	
SAMN33038688	WHP2045	WHP2045	Severe acute respiratory syndrome coronavirus 2	2697049	1202	
SAMN33038689	WHP2046	WHP2046	Severe acute respiratory syndrome coronavirus 2	2697049	1203	
SAMN33038690	WHP2047	WHP2047	Severe acute respiratory syndrome coronavirus 2	2697049	1204	
SAMN33038691	WHP2048	WHP2048	Severe acute respiratory syndrome coronavirus 2	2697049	1205	
SAMN33038692	WHP2049	WHP2049	Severe acute respiratory syndrome coronavirus 2	2697049	1206	
SAMN33038693	WHP2050	WHP2050	Severe acute respiratory syndrome coronavirus 2	2697049	1207	
SAMN33038694	WHP2051	WHP2051	Severe acute respiratory syndrome coronavirus 2	2697049	1208	
SAMN33038695	WHP2052	WHP2052	Severe acute respiratory syndrome coronavirus 2	2697049	1209	
SAMN33038696	WHP2053	WHP2053	Severe acute respiratory syndrome coronavirus 2	2697049	1210	
SAMN33038697	WHP2054	WHP2054	Severe acute respiratory syndrome coronavirus 2	2697049	1211	
SAMN33038698	WHP2055	WHP2055	Severe acute respiratory syndrome coronavirus 2	2697049	1212	
SAMN33038699	WHP2056	WHP2056	Severe acute respiratory syndrome coronavirus 2	2697049	1213	
SAMN33038700	WHP2057	WHP2057	Severe acute respiratory syndrome coronavirus 2	2697049	1214	
SAMN33038701	WHP2058	WHP2058	Severe acute respiratory syndrome coronavirus 2	2697049	1215	
SAMN33038702	WHP2059	WHP2059	Severe acute respiratory syndrome coronavirus 2	2697049	1216	
SAMN33038703	WHP2060	WHP2060	Severe acute respiratory syndrome coronavirus 2	2697049	1217	
SAMN33038704	WHP2061	WHP2061	Severe acute respiratory syndrome coronavirus 2	2697049	1218	
SAMN33038705	WHP2062	WHP2062	Severe acute respiratory syndrome coronavirus 2	2697049	1219	
SAMN33038706	WHP2063-S1	WHP2063-S1	Severe acute respiratory syndrome coronavirus 2	2697049	1220	
SAMN33038707	WHP2064	WHP2064	Severe acute respiratory syndrome coronavirus 2	2697049	1221	
SAMN33038708	WHP2065	WHP2065	Severe acute respiratory syndrome coronavirus 2	2697049	1222	
SAMN33038709	WHP2066	WHP2066	Severe acute respiratory syndrome coronavirus 2	2697049	1223	
SAMN33038710	WHP2067	WHP2067	Severe acute respiratory syndrome coronavirus 2	2697049	1224	
SAMN33038711	WHP2068	WHP2068	Severe acute respiratory syndrome coronavirus 2	2697049	1225	
SAMN33038712	WHP2069	WHP2069	Severe acute respiratory syndrome coronavirus 2	2697049	1226	
SAMN33038713	WHP2071	WHP2071	Severe acute respiratory syndrome coronavirus 2	2697049	1227	
SAMN33038714	WHP2072	WHP2072	Severe acute respiratory syndrome coronavirus 2	2697049	1228	
SAMN33038715	WHP2073	WHP2073	Severe acute respiratory syndrome coronavirus 2	2697049	1229	
SAMN33038716	WHP2074	WHP2074	Severe acute respiratory syndrome coronavirus 2	2697049	1230	
SAMN33038717	WHP2075	WHP2075	Severe acute respiratory syndrome coronavirus 2	2697049	1231	
SAMN33038718	WHP2076	WHP2076	Severe acute respiratory syndrome coronavirus 2	2697049	1232	
SAMN33038719	WHP2077	WHP2077	Severe acute respiratory syndrome coronavirus 2	2697049	1233	
SAMN33038720	WHP2079	WHP2079	Severe acute respiratory syndrome coronavirus 2	2697049	1234	
SAMN33038721	WHP2080	WHP2080	Severe acute respiratory syndrome coronavirus 2	2697049	1235	
SAMN33038722	WHP2081	WHP2081	Severe acute respiratory syndrome coronavirus 2	2697049	1236	
SAMN33038723	WHP2082	WHP2082	Severe acute respiratory syndrome coronavirus 2	2697049	1237	
SAMN33038724	WHP2083	WHP2083	Severe acute respiratory syndrome coronavirus 2	2697049	1238	
SAMN33038725	WHP2094	WHP2094	Severe acute respiratory syndrome coronavirus 2	2697049	612	
SAMN33038726	WHP2095	WHP2095	Severe acute respiratory syndrome coronavirus 2	2697049	613	
SAMN33038727	WHP2098	WHP2098	Severe acute respiratory syndrome coronavirus 2	2697049	615	
SAMN33038728	WHP2099	WHP2099	Severe acute respiratory syndrome coronavirus 2	2697049	614	
SAMN33038729	WHP2100	WHP2100	Severe acute respiratory syndrome coronavirus 2	2697049	616	
SAMN33038730	WHP2106	WHP2106	Severe acute respiratory syndrome coronavirus 2	2697049	1240	
SAMN33038731	WHP2107	WHP2107	Severe acute respiratory syndrome coronavirus 2	2697049	1241	
SAMN33038732	WHP2108	WHP2108	Severe acute respiratory syndrome coronavirus 2	2697049	1243	
SAMN33038733	WHP2109	WHP2109	Severe acute respiratory syndrome coronavirus 2	2697049	1244	
SAMN33038734	WHP2110	WHP2110	Severe acute respiratory syndrome coronavirus 2	2697049	1245	
SAMN33038735	WHP2111	WHP2111	Severe acute respiratory syndrome coronavirus 2	2697049	1246	
SAMN33038736	WHP2112	WHP2112	Severe acute respiratory syndrome coronavirus 2	2697049	1247	
SAMN33038737	WHP2113	WHP2113	Severe acute respiratory syndrome coronavirus 2	2697049	1248	
SAMN33038738	WHP2115	WHP2115	Severe acute respiratory syndrome coronavirus 2	2697049	1249	
SAMN33038739	WHP2116	WHP2116	Severe acute respiratory syndrome coronavirus 2	2697049	1250	
SAMN33038740	WHP2117	WHP2117	Severe acute respiratory syndrome coronavirus 2	2697049	1251	
SAMN33038741	WHP2118	WHP2118	Severe acute respiratory syndrome coronavirus 2	2697049	1252	
SAMN33038742	WHP2119	WHP2119	Severe acute respiratory syndrome coronavirus 2	2697049	1253	
SAMN33038743	WHP2120	WHP2120	Severe acute respiratory syndrome coronavirus 2	2697049	1254	
SAMN33038744	WHP2121	WHP2121	Severe acute respiratory syndrome coronavirus 2	2697049	1255	
SAMN33038745	WHP2122	WHP2122	Severe acute respiratory syndrome coronavirus 2	2697049	1256	
SAMN33038746	WHP2123	WHP2123	Severe acute respiratory syndrome coronavirus 2	2697049	1257	
SAMN33038747	WHP2124	WHP2124	Severe acute respiratory syndrome coronavirus 2	2697049	1258	
SAMN33038748	WHP2125	WHP2125	Severe acute respiratory syndrome coronavirus 2	2697049	1259	
SAMN33038749	WHP2126	WHP2126	Severe acute respiratory syndrome coronavirus 2	2697049	1260	
SAMN33038750	WHP2127	WHP2127	Severe acute respiratory syndrome coronavirus 2	2697049	1261	
SAMN33038751	WHP2128	WHP2128	Severe acute respiratory syndrome coronavirus 2	2697049	1263	
SAMN33038752	WHP2129	WHP2129	Severe acute respiratory syndrome coronavirus 2	2697049	1264	
SAMN33038753	WHP2130	WHP2130	Severe acute respiratory syndrome coronavirus 2	2697049	1265	
SAMN33038754	WHP2131	WHP2131	Severe acute respiratory syndrome coronavirus 2	2697049	1266	
SAMN33038755	WHP2132	WHP2132	Severe acute respiratory syndrome coronavirus 2	2697049	1267	
SAMN33038756	WHP2133	WHP2133	Severe acute respiratory syndrome coronavirus 2	2697049	1268	
SAMN33038757	WHP2134	WHP2134	Severe acute respiratory syndrome coronavirus 2	2697049	1269	
SAMN33038758	WHP2135	WHP2135	Severe acute respiratory syndrome coronavirus 2	2697049	1270	
SAMN33038759	WHP2136	WHP2136	Severe acute respiratory syndrome coronavirus 2	2697049	1271	
SAMN33038760	WHP2137	WHP2137	Severe acute respiratory syndrome coronavirus 2	2697049	1272	
SAMN33038761	WHP2138	WHP2138	Severe acute respiratory syndrome coronavirus 2	2697049	1273	
SAMN33038762	WHP2139	WHP2139	Severe acute respiratory syndrome coronavirus 2	2697049	1274	
SAMN33038763	WHP2140	WHP2140	Severe acute respiratory syndrome coronavirus 2	2697049	1275	
SAMN33038764	WHP2141	WHP2141	Severe acute respiratory syndrome coronavirus 2	2697049	1276	
SAMN33038765	WHP2142	WHP2142	Severe acute respiratory syndrome coronavirus 2	2697049	1277	
SAMN33038766	WHP2143	WHP2143	Severe acute respiratory syndrome coronavirus 2	2697049	1278	
SAMN33038767	WHP2144	WHP2144	Severe acute respiratory syndrome coronavirus 2	2697049	1279	
SAMN33038768	WHP2145	WHP2145	Severe acute respiratory syndrome coronavirus 2	2697049	1280	
SAMN33038769	WHP2146	WHP2146	Severe acute respiratory syndrome coronavirus 2	2697049	1281	
SAMN33038770	WHP2153	WHP2153	Severe acute respiratory syndrome coronavirus 2	2697049	892	
SAMN33038771	WHP2154	WHP2154	Severe acute respiratory syndrome coronavirus 2	2697049	1336	
SAMN33038772	WHP2159	WHP2159	Severe acute respiratory syndrome coronavirus 2	2697049	1348	
SAMN33038773	WHP2161	WHP2161	Severe acute respiratory syndrome coronavirus 2	2697049	1344	
SAMN33038774	WHP2164	WHP2164	Severe acute respiratory syndrome coronavirus 2	2697049	1345	
SAMN33038775	WHP2165	WHP2165	Severe acute respiratory syndrome coronavirus 2	2697049	1346	
SAMN33038776	WHP2168	WHP2168	Severe acute respiratory syndrome coronavirus 2	2697049	1343	
SAMN33038777	WHP2169	WHP2169	Severe acute respiratory syndrome coronavirus 2	2697049	1287	
SAMN33038778	WHP2170	WHP2170	Severe acute respiratory syndrome coronavirus 2	2697049	1288	
SAMN33038779	WHP2171	WHP2171	Severe acute respiratory syndrome coronavirus 2	2697049	1292	
SAMN33038780	WHP2172	WHP2172	Severe acute respiratory syndrome coronavirus 2	2697049	1297	
SAMN33038781	WHP2173	WHP2173	Severe acute respiratory syndrome coronavirus 2	2697049	1298	
SAMN33038782	WHP2174	WHP2174	Severe acute respiratory syndrome coronavirus 2	2697049	1299	
SAMN33038783	WHP2175-repeat	WHP2175-repeat	Severe acute respiratory syndrome coronavirus 2	2697049	1300	
SAMN33038784	WHP2176	WHP2176	Severe acute respiratory syndrome coronavirus 2	2697049	1301	
SAMN33038785	WHP2177	WHP2177	Severe acute respiratory syndrome coronavirus 2	2697049	1302	
SAMN33038786	WHP2178	WHP2178	Severe acute respiratory syndrome coronavirus 2	2697049	1303	
SAMN33038787	WHP2180	WHP2180	Severe acute respiratory syndrome coronavirus 2	2697049	1307	
SAMN33038788	WHP2181	WHP2181	Severe acute respiratory syndrome coronavirus 2	2697049	1315	
SAMN33038789	WHP2182	WHP2182	Severe acute respiratory syndrome coronavirus 2	2697049	1316	
SAMN33038790	WHP2183	WHP2183	Severe acute respiratory syndrome coronavirus 2	2697049	1317	
SAMN33038791	WHP2184	WHP2184	Severe acute respiratory syndrome coronavirus 2	2697049	1318	
SAMN33038792	WHP2185	WHP2185	Severe acute respiratory syndrome coronavirus 2	2697049	1319	
SAMN33038793	WHP2186	WHP2186	Severe acute respiratory syndrome coronavirus 2	2697049	1320	
SAMN33038794	WHP2187	WHP2187	Severe acute respiratory syndrome coronavirus 2	2697049	1321	
SAMN33038795	WHP2190	WHP2190	Severe acute respiratory syndrome coronavirus 2	2697049	1323	
SAMN33038796	WHP2191	WHP2191	Severe acute respiratory syndrome coronavirus 2	2697049	1324	
SAMN33038797	WHP2194	WHP2194	Severe acute respiratory syndrome coronavirus 2	2697049	1325	
SAMN33038798	WHP2195	WHP2195	Severe acute respiratory syndrome coronavirus 2	2697049	1326	
SAMN33038799	WHP2196	WHP2196	Severe acute respiratory syndrome coronavirus 2	2697049	1327	
SAMN33038800	WHP2197	WHP2197	Severe acute respiratory syndrome coronavirus 2	2697049	1328	
SAMN33038801	WHP2198	WHP2198	Severe acute respiratory syndrome coronavirus 2	2697049	1329	
SAMN33038802	WHP2199	WHP2199	Severe acute respiratory syndrome coronavirus 2	2697049	1330	
SAMN33038803	WHP2200	WHP2200	Severe acute respiratory syndrome coronavirus 2	2697049	1331	
SAMN33038804	WHP2204	WHP2204	Severe acute respiratory syndrome coronavirus 2	2697049	1341	
SAMN33038805	WHP2206	WHP2206	Severe acute respiratory syndrome coronavirus 2	2697049	1128	
SAMN33038806	WHP2207	WHP2207	Severe acute respiratory syndrome coronavirus 2	2697049	1133	
SAMN33038807	WHP2208	WHP2208	Severe acute respiratory syndrome coronavirus 2	2697049	1284	
SAMN33038808	WHP2209	WHP2209	Severe acute respiratory syndrome coronavirus 2	2697049	1285	
SAMN33038809	WHP2210	WHP2210	Severe acute respiratory syndrome coronavirus 2	2697049	1286	
SAMN33038810	WHP2211	WHP2211	Severe acute respiratory syndrome coronavirus 2	2697049	1289	
SAMN33038811	WHP2212	WHP2212	Severe acute respiratory syndrome coronavirus 2	2697049	1290	
SAMN33038812	WHP2213	WHP2213	Severe acute respiratory syndrome coronavirus 2	2697049	1291	
SAMN33038813	WHP2214	WHP2214	Severe acute respiratory syndrome coronavirus 2	2697049	1293	
SAMN33038814	WHP2215	WHP2215	Severe acute respiratory syndrome coronavirus 2	2697049	1294	
SAMN33038815	WHP2216	WHP2216	Severe acute respiratory syndrome coronavirus 2	2697049	1295	
SAMN33038816	WHP2217	WHP2217	Severe acute respiratory syndrome coronavirus 2	2697049	1296	
SAMN33038817	WHP2218	WHP2218	Severe acute respiratory syndrome coronavirus 2	2697049	1304	
SAMN33038818	WHP2219	WHP2219	Severe acute respiratory syndrome coronavirus 2	2697049	1305	
SAMN33038819	WHP2220	WHP2220	Severe acute respiratory syndrome coronavirus 2	2697049	1306	
SAMN33038820	WHP2221	WHP2221	Severe acute respiratory syndrome coronavirus 2	2697049	1308	
SAMN33038821	WHP2222	WHP2222	Severe acute respiratory syndrome coronavirus 2	2697049	1309	
SAMN33038822	WHP2223	WHP2223	Severe acute respiratory syndrome coronavirus 2	2697049	1310	
SAMN33038823	WHP2224	WHP2224	Severe acute respiratory syndrome coronavirus 2	2697049	1311	
SAMN33038824	WHP2225	WHP2225	Severe acute respiratory syndrome coronavirus 2	2697049	1312	
SAMN33038825	WHP2226	WHP2226	Severe acute respiratory syndrome coronavirus 2	2697049	1313	
SAMN33038826	WHP2227	WHP2227	Severe acute respiratory syndrome coronavirus 2	2697049	1314	
SAMN33038827	WHP2230	WHP2230	Severe acute respiratory syndrome coronavirus 2	2697049	1322	
SAMN33038828	WHP2235	WHP2235	Severe acute respiratory syndrome coronavirus 2	2697049	1332	
SAMN33038829	WHP2236	WHP2236	Severe acute respiratory syndrome coronavirus 2	2697049	1333	
SAMN33038830	WHP2237	WHP2237	Severe acute respiratory syndrome coronavirus 2	2697049	1334	
SAMN33038831	WHP2238	WHP2238	Severe acute respiratory syndrome coronavirus 2	2697049	1335	
SAMN33038832	WHP2239	WHP2239	Severe acute respiratory syndrome coronavirus 2	2697049	1337	
SAMN33038833	WHP2240	WHP2240	Severe acute respiratory syndrome coronavirus 2	2697049	1338	
SAMN33038834	WHP2241	WHP2241	Severe acute respiratory syndrome coronavirus 2	2697049	1339	
SAMN33038835	WHP2242	WHP2242	Severe acute respiratory syndrome coronavirus 2	2697049	1340	
SAMN33038836	WHP2243	WHP2243	Severe acute respiratory syndrome coronavirus 2	2697049	1342	
SAMN33038837	WHP2247	WHP2247	Severe acute respiratory syndrome coronavirus 2	2697049	1347	
SAMN33038838	WHP2248	WHP2248	Severe acute respiratory syndrome coronavirus 2	2697049	1349	
SAMN33038839	WHP2249	WHP2249	Severe acute respiratory syndrome coronavirus 2	2697049	1350	
SAMN33038840	WHP2250	WHP2250	Severe acute respiratory syndrome coronavirus 2	2697049	1351	
SAMN33038841	WHP2251	WHP2251	Severe acute respiratory syndrome coronavirus 2	2697049	1352	
SAMN33038842	WHP2252	WHP2252	Severe acute respiratory syndrome coronavirus 2	2697049	1353	
SAMN33038843	WHP2253	WHP2253	Severe acute respiratory syndrome coronavirus 2	2697049	1354	
SAMN33038844	WHP2254	WHP2254	Severe acute respiratory syndrome coronavirus 2	2697049	1355	
SAMN33038845	WHP2255	WHP2255	Severe acute respiratory syndrome coronavirus 2	2697049	1356	
SAMN33038846	WHP2256	WHP2256	Severe acute respiratory syndrome coronavirus 2	2697049	1357	
SAMN33038847	WHP2257	WHP2257	Severe acute respiratory syndrome coronavirus 2	2697049	1282	
SAMN33038848	WHP2258	WHP2258	Severe acute respiratory syndrome coronavirus 2	2697049	1283	
SAMN33038849	WHP2260	WHP2260	Severe acute respiratory syndrome coronavirus 2	2697049	1045	
SAMN33038850	WHP2262	WHP2262	Severe acute respiratory syndrome coronavirus 2	2697049	1183	
SAMN33038851	WHP2266	WHP2266	Severe acute respiratory syndrome coronavirus 2	2697049	1200	
SAMN33038852	WHP2268	WHP2268	Severe acute respiratory syndrome coronavirus 2	2697049	1239	
SAMN33038853	WHP2269	WHP2269	Severe acute respiratory syndrome coronavirus 2	2697049	1242	
SAMN33038854	WHP2275	WHP2275	Severe acute respiratory syndrome coronavirus 2	2697049	1358	
SAMN33038855	WHP2276	WHP2276	Severe acute respiratory syndrome coronavirus 2	2697049	1359	
SAMN33038856	WHP2277	WHP2277	Severe acute respiratory syndrome coronavirus 2	2697049	1360	
SAMN33038857	WHP2278	WHP2278	Severe acute respiratory syndrome coronavirus 2	2697049	1361	
SAMN33038858	WHP2279	WHP2279	Severe acute respiratory syndrome coronavirus 2	2697049	1362	
SAMN33038859	WHP2280	WHP2280	Severe acute respiratory syndrome coronavirus 2	2697049	1363	
SAMN33038860	WHP2281	WHP2281	Severe acute respiratory syndrome coronavirus 2	2697049	1364	
SAMN33038861	WHP2282	WHP2282	Severe acute respiratory syndrome coronavirus 2	2697049	1365	
SAMN33038862	WHP2283	WHP2283	Severe acute respiratory syndrome coronavirus 2	2697049	1366	
SAMN33038863	WHP2284	WHP2284	Severe acute respiratory syndrome coronavirus 2	2697049	1367	
SAMN33038864	WHP2285	WHP2285	Severe acute respiratory syndrome coronavirus 2	2697049	1368	
SAMN33038865	WHP2286	WHP2286	Severe acute respiratory syndrome coronavirus 2	2697049	1369	
SAMN33038866	WHP2287	WHP2287	Severe acute respiratory syndrome coronavirus 2	2697049	1370	
SAMN33038867	WHP2288	WHP2288	Severe acute respiratory syndrome coronavirus 2	2697049	1371	
SAMN33038868	WHP2289	WHP2289	Severe acute respiratory syndrome coronavirus 2	2697049	1372	
SAMN33038869	WHP2290	WHP2290	Severe acute respiratory syndrome coronavirus 2	2697049	1373	
SAMN33038870	WHP2291	WHP2291	Severe acute respiratory syndrome coronavirus 2	2697049	1374	
SAMN33038871	WHP2292	WHP2292	Severe acute respiratory syndrome coronavirus 2	2697049	1375	
SAMN33038872	WHP2293	WHP2293	Severe acute respiratory syndrome coronavirus 2	2697049	1376	
SAMN33038873	WHP2294	WHP2294	Severe acute respiratory syndrome coronavirus 2	2697049	1377	
SAMN33038874	WHP2295	WHP2295	Severe acute respiratory syndrome coronavirus 2	2697049	1378	
SAMN33038875	WHP2296	WHP2296	Severe acute respiratory syndrome coronavirus 2	2697049	1379	
SAMN33038876	WHP2297	WHP2297	Severe acute respiratory syndrome coronavirus 2	2697049	1380	
SAMN33038877	WHP2298	WHP2298	Severe acute respiratory syndrome coronavirus 2	2697049	1381	
SAMN33038878	WHP2299	WHP2299	Severe acute respiratory syndrome coronavirus 2	2697049	1382	
SAMN33038879	WHP2300	WHP2300	Severe acute respiratory syndrome coronavirus 2	2697049	1383	
SAMN33038880	WHP2301	WHP2301	Severe acute respiratory syndrome coronavirus 2	2697049	1384	
SAMN33038881	WHP2302	WHP2302	Severe acute respiratory syndrome coronavirus 2	2697049	1385	
SAMN33038882	WHP2303	WHP2303	Severe acute respiratory syndrome coronavirus 2	2697049	1386	
SAMN33038883	WHP2304	WHP2304	Severe acute respiratory syndrome coronavirus 2	2697049	1387	
SAMN33038884	WHP2305	WHP2305	Severe acute respiratory syndrome coronavirus 2	2697049	1388	
SAMN33038885	WHP2306	WHP2306	Severe acute respiratory syndrome coronavirus 2	2697049	1389	
SAMN33038886	WHP2307	WHP2307	Severe acute respiratory syndrome coronavirus 2	2697049	1390	
SAMN33038887	WHP2308	WHP2308	Severe acute respiratory syndrome coronavirus 2	2697049	1391	
SAMN33038888	WHP2309	WHP2309	Severe acute respiratory syndrome coronavirus 2	2697049	1392	
SAMN33038889	WHP2310	WHP2310	Severe acute respiratory syndrome coronavirus 2	2697049	1394	
SAMN33038890	WHP2311	WHP2311	Severe acute respiratory syndrome coronavirus 2	2697049	1395	
SAMN33038891	WHP2312	WHP2312	Severe acute respiratory syndrome coronavirus 2	2697049	1396	
SAMN33038892	WHP2313	WHP2313	Severe acute respiratory syndrome coronavirus 2	2697049	1397	
SAMN33038893	WHP2321	WHP2321	Severe acute respiratory syndrome coronavirus 2	2697049	1398	
SAMN33038894	WHP2322	WHP2322	Severe acute respiratory syndrome coronavirus 2	2697049	1399	
SAMN33038895	WHP2323	WHP2323	Severe acute respiratory syndrome coronavirus 2	2697049	1400	
